district,area,chamber,market,building,floor,building_floors,construction_year,standard,property,window,heating,url,rent,price
 Wola,15.0,1,wtórny,,1.0,,2017.0,,pełna własność,,,https://www.otodom.pl/oferta/apartament-inwestycyjny-ID43hW6.html#c89760baae,,199000.0
 Ursynów,85.0,4,wtórny,blok,1.0,4.0,1980.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/ciche-w-zieleni-4-pokoje-85m2-ursynow-p-1-4-ID4398B.html#65ef490b31,,789000.0
 Ochota,19.6,1,wtórny,blok,3.0,4.0,1963.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/bezposrednio-kawalerka-ochota-obok-wum-sanocka-ID42Fsn.html#65ef490b31,,290000.0
 Ursus,72.0,5,wtórny,blok,5.0,7.0,,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-72m-ul-bodycha-basen-dla-mieszkancow-ID43vyo.html#65ef490b31,620.0,509000.0
 Wola,63.8,3,wtórny,blok,3.0,4.0,1993.0,do remontu,spółdzielcze wł. z KW,,miejskie,https://www.otodom.pl/oferta/dla-rodziny-3-pokojowe-przy-metrze-mlynow-ID43vyM.html#65ef490b31,,629000.0
 Mokotów,47.0,3,wtórny,blok,1.0,4.0,1975.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/przytulne-mieszkanie-na-sadybie-ID42znc.html#65ef490b31,550.0,469000.0
 Śródmieście,56.16,3,wtórny,,0.0,5.0,1982.0,,,,,https://www.otodom.pl/oferta/mieszkanie-na-powislu-pod-wynajem-krotkoterminowy-ID43vyL.html#65ef490b31,,649900.0
 Białołęka,66.0,2,wtórny,apartamentowiec,1.0,4.0,2009.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/bialoleka-okolica-centrum-m1-ladne-i-wygodne-2pok-ID43pQi.html#65ef490b31,550.0,490000.0
 Białołęka,40.0,2,wtórny,blok,1.0,3.0,,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/sprzedam-mieszkanie-2-pokoje-na-osiedlu-klasykow-ID43vyr.html#65ef490b31,380.0,395000.0
 Śródmieście,70.0,2,wtórny,blok,0.0,12.0,1980.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/warszawa-powisle-orlowicza-70m-bezposrednio-pilne-ID3XuHS.html#65ef490b31,,810000.0
 Wilanów,62.0,2,wtórny,apartamentowiec,1.0,3.0,2012.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/miasteczko-wilanow-62m2-2-pok-garaz-ID43kfm.html#65ef490b31,550.0,630000.0
 Żoliborz,75.48,4,wtórny,apartamentowiec,1.0,3.0,1928.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/klimatyczne-4-pokoje-kamienica-zoliborz-oficerski-ID43vza.html#65ef490b31,900.0,1130000.0
 Wesoła,125.0,4,pierwotny,szeregowiec,,3.0,2019.0,do wykończenia,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/segment-trzypoziomowy-125m2-najlepsza-lokalizacja-ID4305R.html#65ef490b31,1.0,599000.0
 Praga-Południe,42.0,2,wtórny,blok,0.0,4.0,,do remontu,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/okazja-cenowa-w-zaciszu-saskiej-kepy-ID43vzh.html#65ef490b31,380.0,359000.0
 Białołęka,34.3,1,wtórny,blok,2.0,3.0,2006.0,do zamieszkania,pełna własność,plastikowe,kotłownia,https://www.otodom.pl/oferta/sprzedam-ladna-kawalerke-ID43vyU.html#65ef490b31,331.0,340000.0
 Praga-Południe,49.0,2,wtórny,blok,8.0,10.0,,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/2-pokoje-na-saskiej-kepie-ID43vzp.html#65ef490b31,480.0,440000.0
 Targówek,68.0,3,wtórny,apartamentowiec,0.0,4.0,2018.0,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/piekne-mieszkanie-3-pok-68m2-ogrodek-40m2-ID43vw4.html#65ef490b31,,680000.0
 Bielany,114.9,4,wtórny,apartamentowiec,2.0,4.0,2011.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/cudowny-i-jasny-apartament-na-bielanach-ID43vwe.html#65ef490b31,1.0,1580000.0
 Wola,37.4,2,wtórny,blok,1.0,6.0,1970.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-wola-ul-wolska-ID43vw6.html#65ef490b31,600.0,397000.0
 Ochota,60.0,2,wtórny,blok,6.0,7.0,2006.0,do zamieszkania,,drewniane,miejskie,https://www.otodom.pl/oferta/wyposazone-mieszkanie-tbs-ochota-rakowiec-ID3ZkFK.html#65ef490b31,850.0,349999.0
 Ursynów,87.0,3,wtórny,blok,5.0,5.0,2007.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/niezwykle-mieszkanie-kabaty-chronione-osiedle-ID43vw9.html#65ef490b31,890.0,1217000.0
 Praga-Południe,69.0,3,wtórny,blok,0.0,4.0,1990.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/3-pokoje-na-saskiej-kepie-blisko-parku-ID434D7.html#65ef490b31,,920000.0
 Białołęka,58.62,3,pierwotny,blok,3.0,3.0,2020.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ostrodzka-park-3-pokojowe-58-62-m2-ID41w9d.html#65ef490b31,,474822.0
 Białołęka,93.42,4,pierwotny,blok,1.0,3.0,2020.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ostrodzka-park-4-pokojowe-93-42m2-ID41w8u.html#65ef490b31,,569862.0
 Białołęka,44.6,2,pierwotny,blok,2.0,3.0,2020.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ostrodzka-park-2-pokojowe-44-6m2-ID41w92.html#65ef490b31,,336730.0
 Bielany,76.2,3,wtórny,blok,3.0,5.0,2012.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/swietne-3-pok-mieszkanie-na-bielanach-ID43vwA.html#65ef490b31,599.0,805000.0
 Białołęka,61.42,3,pierwotny,blok,0.0,2.0,2020.0,do wykończenia,,plastikowe,,https://www.otodom.pl/oferta/ostrodzka-park-3-pokojowe-61-42m2-ID41w9o.html#65ef490b31,,442224.0
 Białołęka,58.37,3,pierwotny,blok,1.0,3.0,2020.0,do wykończenia,pełna własność,plastikowe,,https://www.otodom.pl/oferta/ostrodzka-park-3-pokojowe-58-37m2-ID41w7y.html#65ef490b31,,361894.0
 Praga-Południe,35.0,1,wtórny,kamienica,0.0,2.0,1945.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/atrakcyjna-kawalerka-2-pokoje-w-kamienicy-ID438YM.html#65ef490b31,339.0,369500.0
 Targówek,57.17,3,wtórny,blok,1.0,4.0,1978.0,do remontu,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-57-17-m-warszawa-ID43vva.html#65ef490b31,560.0,479000.0
 Ochota,91.0,4,wtórny,apartamentowiec,9.0,12.0,2012.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-ochota-ul-grojecka-ID43vwM.html#65ef490b31,1.0,1100000.0
 Żoliborz,58.5,3,wtórny,blok,4.0,10.0,1971.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/ciekawe-mieszkanie-na-sadach-zoliborskich-ID43vv9.html#65ef490b31,430.0,615000.0
 Bielany,79.3,3,wtórny,blok,1.0,4.0,1993.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/piekne-3-pokoje-na-bielanach-ID43vwS.html#65ef490b31,700.0,720000.0
 Bielany,36.6,1,wtórny,blok,7.0,8.0,2010.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/swietna-kawalerka-5-min-od-metra-st-bielany-ID43vuy.html#65ef490b31,360.0,395000.0
 Wawer,120.0,6,pierwotny,,1.0,1.0,2020.0,do wykończenia,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/75m2-poddasze-45m2-v-etap-osiedla-polana-wawer-ID2Volb.html#65ef490b31,,420000.0
 Wawer,47.0,3,wtórny,blok,0.0,10.0,1970.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-47m2-korkowa-rog-potockich-6999m2-ID42GbJ.html#65ef490b31,399.0,328999.0
 Bemowo,78.0,3,pierwotny,blok,4.0,5.0,2009.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/bezposrednio-3-4-pokoje-w-stanie-deweloperskim-na-ID43hlc.html#65ef490b31,700.0,690000.0
 Ursynów,63.0,3,wtórny,blok,8.0,8.0,1988.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/3-pokoje-63-m2-metro-imielin-blisko-sggw-150-m-ID43npB.html#65ef490b31,860.0,625000.0
 Bielany,49.0,2,wtórny,blok,2.0,4.0,1970.0,,spółdzielcze wł. z KW,,miejskie,https://www.otodom.pl/oferta/cudowne-dwa-pokoje-na-marymonckiej-ID43vvs.html#65ef490b31,550.0,462000.0
 Śródmieście,48.0,3,wtórny,blok,2.0,9.0,,,spółdzielcze wł. z KW,,,https://www.otodom.pl/oferta/srodmiescie-3-pok-w-super-cenie-pilnie-ID43vvC.html#65ef490b31,,519000.0
 Bielany,28.1,1,wtórny,blok,4.0,10.0,1968.0,,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/swietna-kawalerka-na-danilowskiego-ID43vvk.html#65ef490b31,360.0,335000.0
 Śródmieście,179.36,5,pierwotny,apartamentowiec,4.0,4.0,,do wykończenia,,,miejskie,https://www.otodom.pl/oferta/apartament-z-tarasem-w-prestizowej-lokalizacji-ID43oeK.html#1fa0ab5241,,4308155.0
 Śródmieście,109.77,3,wtórny,kamienica,7.0,7.0,,do zamieszkania,,,,https://www.otodom.pl/oferta/pieknie-wykonczone-mieszkanie-z-tarasem-na-dachu-ID43nQI.html#1fa0ab5241,,3050000.0
 Białołęka,89.27,4,pierwotny,apartamentowiec,5.0,5.0,,do wykończenia,pełna własność,,,https://www.otodom.pl/oferta/piekne-mieszkanie-z-tarasem-na-dachu-ID43oC2.html#1fa0ab5241,,756000.0
 Praga-Południe,78.59,4,pierwotny,apartamentowiec,4.0,5.0,2019.0,do wykończenia,,,,https://www.otodom.pl/oferta/zakonczenie-budowy-za-chwile-okazja-ID43nqF.html#1fa0ab5241,,636579.0
 Praga-Północ,43.86,2,wtórny,kamienica,5.0,5.0,,do wykończenia,,,,https://www.otodom.pl/oferta/ustawne-sloneczne-mieszkanie-w-kamienicy-praga-ID43nq6.html#1fa0ab5241,,622324.2
 Bemowo,47.96,2,pierwotny,apartamentowiec,1.0,5.0,,do wykończenia,pełna własność,,,https://www.otodom.pl/oferta/wymarzone-mieszkanie-dla-pary-super-komunikacja-ID43nT8.html#1fa0ab5241,,432000.0
 Mokotów,46.9,2,wtórny,,4.0,5.0,1991.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/mokotow-2-pok-do-wejscia-dla-siebie-lub-wynajem-ID43mxr.html#1fa0ab5241,503.0,524000.0
 Praga-Południe,78.59,4,pierwotny,apartamentowiec,3.0,5.0,2019.0,do wykończenia,,,,https://www.otodom.pl/oferta/korzystna-cena-dobra-komunikacja-miejska-ID43mSX.html#1fa0ab5241,,636579.0
 Śródmieście,77.0,1,wtórny,apartamentowiec,1.0,8.0,2007.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/77-m2-do-aranzacji-grzybowskiego-srodmiescie-ID43vtU.html#1fa0ab5241,,1320000.0
 Bielany,58.0,3,wtórny,blok,0.0,10.0,1990.0,,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/ciekawe-mieszkanie-na-bielanach-ID43vtV.html#1fa0ab5241,440.0,445000.0
 Ursus,67.64,3,pierwotny,apartamentowiec,2.0,7.0,,do wykończenia,,,,https://www.otodom.pl/oferta/ustawne-mieszkanie-z-oddzielna-kuchnia-i-garderoba-ID43mjX.html#1fa0ab5241,,475000.0
 Białołęka,41.6,2,pierwotny,apartamentowiec,3.0,3.0,2019.0,do wykończenia,,,,https://www.otodom.pl/oferta/gotowe-2-pokoje-na-pieknym-klimatycznym-osiedlu-ID43mpM.html#1fa0ab5241,,361654.0
 Ursus,39.38,2,pierwotny,apartamentowiec,3.0,7.0,,do wykończenia,,,,https://www.otodom.pl/oferta/swietny-projekt-bardzo-dobra-komunikacja-ID43mhW.html#1fa0ab5241,,316000.0
 Białołęka,54.55,3,pierwotny,apartamentowiec,1.0,2.0,,do wykończenia,pełna własność,,,https://www.otodom.pl/oferta/super-cena-3-pokoje-z-a-357-tys-zl-ID43mRH.html#1fa0ab5241,,357303.0
 Ursus,49.21,2,pierwotny,apartamentowiec,7.0,7.0,,do wykończenia,,,,https://www.otodom.pl/oferta/dwustronne-mieszkanie-z-widna-kuchnia-blisko-pkp-ID43mkh.html#1fa0ab5241,,398000.0
 Rembertów,67.83,2,pierwotny,blok,3.0,3.0,2019.0,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/ostatnie-piekne-mieszkanie-na-poddaszu-ID43gXb.html#2a80e35130,500.0,449000.0
 Wawer,45.18,2,pierwotny,apartamentowiec,1.0,5.0,,do wykończenia,,,,https://www.otodom.pl/oferta/2-pokoje-w-swietnej-cenie-okazja-ID43lrG.html#1fa0ab5241,,361880.0
 Mokotów,50.0,3,wtórny,kamienica,0.0,3.0,1936.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mokotow-b-jasne-m3-przedwojenna-kamienicy-50m2-ID43qLJ.html#2a80e35130,,587000.0
 Śródmieście,139.0,4,wtórny,apartamentowiec,8.0,12.0,2000.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-4-pokojowy-w-centrum-bezposrednio-ID42MXW.html#2a80e35130,1.0,1390000.0
 Śródmieście,62.0,3,wtórny,kamienica,7.0,8.0,1950.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/exclusive-3-pokoje-marszalkowska-metro-cegla-ID43sTf.html#2a80e35130,,899000.0
 Praga-Południe,45.0,2,wtórny,blok,3.0,3.0,1960.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/szklanych-domow-ciche-klimat-po-remoncie-ID43vqo.html#2a80e35130,,449000.0
 Ursynów,42.1,2,wtórny,blok,4.0,4.0,1980.0,,spółdzielcze własnościowe,,,https://www.otodom.pl/oferta/sprzedam-2-pokoje-do-remontu-na-janowskiego-ID43vqB.html#2a80e35130,500.0,378000.0
 Ochota,39.0,2,pierwotny,,4.0,4.0,2019.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/klinkierowa-ochota-wykonczone-cisza-i-spokoj-ID438Ak.html#2a80e35130,,419000.0
 Ochota,89.0,3,wtórny,kamienica,0.0,3.0,1926.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/stara-ochota-3-pokoje-w-kamienicy-z-1926-roku-ID43gXU.html#2a80e35130,994.0,1180000.0
 Ursynów,50.6,2,wtórny,,1.0,10.0,2000.0,,spółdzielcze własnościowe,,,https://www.otodom.pl/oferta/sprzedam-2-pokoje-ursynow-stryjenskich-ID43vqC.html#2a80e35130,,545000.0
 Śródmieście,48.05,3,wtórny,blok,11.0,15.0,1972.0,do remontu,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-w-centrum-ID43vqp.html#2a80e35130,,480000.0
 Wilanów,61.0,3,wtórny,,1.0,4.0,2010.0,,,,,https://www.otodom.pl/oferta/piekne-3-pokojowe-mieszkanie-w-miasteczku-wilanow-ID43vqE.html#2a80e35130,,800000.0
 Praga-Południe,49.7,2,wtórny,kamienica,2.0,2.0,1957.0,do remontu,,plastikowe,gazowe,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-warszawa-grochow-ID42T2X.html#2a80e35130,447.0,398000.0
 Mokotów,107.9,4,wtórny,,2.0,3.0,2001.0,,,,,https://www.otodom.pl/oferta/jasne-mieszkanie-3-syp-obok-jez-czerniakowskiego-ID42Sqy.html#2a80e35130,700.0,925000.0
 Mokotów,63.6,4,wtórny,,0.0,10.0,,,,,,https://www.otodom.pl/oferta/park-cisza-ch-sadyba-ID43vr6.html#2a80e35130,600.0,540000.0
 Wola,59.43,3,wtórny,apartamentowiec,3.0,13.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/nowe-mieszkanie-z-tarasem-ID43vqW.html#2a80e35130,600.0,699000.0
 Żoliborz,73.0,4,wtórny,blok,4.0,4.0,2017.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/sloneczny-apartament-73-m-zoliborz-artystyczny-ID42UNS.html#2a80e35130,900.0,990000.0
 Śródmieście,72.0,3,wtórny,,1.0,8.0,1959.0,do remontu,spółdzielcze wł. z KW,,miejskie,https://www.otodom.pl/oferta/cegla-winda-2-balkony-blisko-nowego-swiatu-ID3MhzS.html#2a80e35130,880.0,799000.0
 Ursus,45.0,2,wtórny,blok,5.0,7.0,2001.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/2-pok-45-m2-ul-gorna-droga-miejsce-park-w-cenie-ID43vqG.html#2a80e35130,650.0,338000.0
 Praga-Południe,57.0,3,wtórny,blok,1.0,2.0,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-praga-poludnie-ul-szaserow-ID41Xvj.html#af330f76b5,,550000.0
 Ochota,54.0,3,wtórny,apartamentowiec,3.0,3.0,2010.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/ochota-ul-moldawska-3-pokoje-z-tarasem-ID43r5P.html#af330f76b5,500.0,745000.0
 Ursynów,52.3,2,wtórny,blok,1.0,2.0,,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/duze-mieszkanie-2-pokojowe-z-miejscem-garazowym-ID42PVH.html#af330f76b5,,439000.0
 Białołęka,150.0,5,pierwotny,,,,,,,,,https://www.otodom.pl/oferta/segment-warszawa-bialoleka-blizniak-150m2-ID3BREI.html#af330f76b5,,892750.0
 Ochota,42.0,2,wtórny,blok,7.0,10.0,11960.0,do remontu,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/swietne-2-pokojowe-na-ochocie-ID43rQM.html#af330f76b5,,397000.0
 Mokotów,155.0,4,wtórny,,3.0,4.0,2012.0,,,,,https://www.otodom.pl/oferta/unikatowy-loft-w-sercu-mokotowa-ID42X9d.html#af330f76b5,,2650000.0
 Mokotów,69.4,3,wtórny,apartamentowiec,8.0,11.0,2001.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/bezposrednio-mokotow-atrakcyjne-mieszkanie-70-m2-ID43ura.html#2a80e35130,650.0,763000.0
 Białołęka,144.0,5,pierwotny,,,,,,,,,https://www.otodom.pl/oferta/segment-warszawa-bialoleka-narozny-z-garazem-144m2-ID3BREv.html#af330f76b5,,758480.0
 Żoliborz,157.9,8,wtórny,,2.0,2.0,,,spółdzielcze wł. z KW,,,https://www.otodom.pl/oferta/dwa-apartamenty-stary-zoliborz-oficerski-ID432NX.html#af330f76b5,,2250000.0
 Białołęka,65.65,3,wtórny,blok,2.0,4.0,2010.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/nowa-cena-geodezyjna-80-2010r-garaz-komorka-ID43ubs.html#af330f76b5,550.0,424000.0
 Praga-Południe,49.15,2,wtórny,kamienica,2.0,3.0,,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/2-lub-3-pokoje-w-odnowionej-kamienicy-bezposrednio-ID43ubD.html#af330f76b5,409.0,459000.0
 Śródmieście,164.87,4,wtórny,,3.0,5.0,2012.0,,,,,https://www.otodom.pl/oferta/rezydencja-foksal-luksusowy-apartament-ID43gYt.html#af330f76b5,,6450000.0
 Wola,58.0,2,wtórny,,5.0,8.0,2009.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-58-m-warszawa-ID42X0O.html#af330f76b5,600.0,696000.0
